期数id,时间,比赛id,赛事,主队,客队,主胜SP值,主平SP值,主负SP值,主胜概率,主平概率,主负概率,庄家抽水,比赛结果,样本量,理论概率_胜,理论概率_平,理论概率_负,真实频率_胜,真实频率_平,真实频率_负,卡方统计量,P值
26019,01-29 04:00,1312557,欧冠,阿森纳,阿拉木图凯拉特,1.03,18.12,48.32,0.928,0.053,0.02,0.047,未知,211.0,0.474,0.226,0.301,0.474,0.199,0.327,1.143,0.565
26019,01-29 04:00,1312554,欧冠,马竞,博德闪耀,1.27,6.52,8.88,0.747,0.146,0.107,0.053,未知,211.0,0.474,0.226,0.301,0.474,0.199,0.327,1.143,0.565
26019,01-29 04:00,1312542,欧冠,本菲卡,皇马,4.08,4.1,1.77,0.233,0.231,0.536,0.054,未知,211.0,0.474,0.226,0.301,0.474,0.199,0.327,1.143,0.565
26019,01-29 04:00,1312555,欧冠,毕尔巴鄂,里斯本,2.66,3.39,2.63,0.358,0.281,0.362,0.051,未知,211.0,0.474,0.226,0.301,0.474,0.199,0.327,1.143,0.565
26019,01-29 04:00,1312552,欧冠,多特蒙德,国际米兰,2.9,3.5,2.37,0.328,0.271,0.401,0.052,未知,211.0,0.474,0.226,0.301,0.474,0.199,0.327,1.143,0.565
26019,01-29 04:00,1312550,欧冠,法兰克福,热刺,4.17,3.97,1.78,0.228,0.239,0.533,0.053,未知,211.0,0.474,0.226,0.301,0.474,0.199,0.327,1.143,0.565
26019,01-29 04:00,1312553,欧冠,勒沃库森,比利亚雷,1.7,4.18,4.43,0.559,0.227,0.214,0.053,未知,211.0,0.474,0.226,0.301,0.474,0.199,0.327,1.143,0.565
26019,01-29 04:00,1312548,欧冠,利物浦,卡拉巴,1.11,10.29,20.5,0.861,0.093,0.047,0.047,未知,211.0,0.474,0.226,0.301,0.474,0.199,0.327,1.143,0.565
26019,01-29 04:00,1312547,欧冠,曼城,加拉塔萨雷,1.22,7.13,10.99,0.78,0.133,0.087,0.051,未知,211.0,0.474,0.226,0.301,0.474,0.199,0.327,1.143,0.565
26019,01-29 04:00,1312556,欧冠,摩纳哥,尤文,3.91,3.65,1.91,0.243,0.26,0.497,0.053,未知,211.0,0.474,0.226,0.301,0.474,0.199,0.327,1.143,0.565
26019,01-29 04:00,1312541,欧冠,那不勒斯,切尔西,3.28,3.57,2.14,0.29,0.266,0.444,0.052,未知,211.0,0.474,0.226,0.301,0.474,0.199,0.327,1.143,0.565
26019,01-29 04:00,1312545,欧冠,巴黎圣曼,纽卡斯尔,1.59,4.65,4.84,0.599,0.205,0.197,0.051,未知,211.0,0.474,0.226,0.301,0.474,0.199,0.327,1.143,0.565
26019,01-29 04:00,1312544,欧冠,埃因霍温,拜仁,5.17,4.75,1.54,0.184,0.2,0.616,0.053,未知,211.0,0.474,0.226,0.301,0.474,0.199,0.327,1.143,0.565
26019,01-29 04:00,1312549,欧冠,巴萨,哥本哈根,1.12,9.83,17.7,0.849,0.097,0.054,0.051,未知,211.0,0.474,0.226,0.301,0.474,0.199,0.327,1.143,0.565
