期数id,投注成本,奖金,净收益,是否中奖,投注场次数,当期一等奖,赛果冷热
25001,256,0.0,-256.0,False,9,45724.0,超级冷
25002,256,0.0,-256.0,False,9,21517.0,超级冷
25003,256,0.0,-256.0,False,9,33736.0,超级冷
25004,256,0.0,-256.0,False,9,5446.0,比较冷
25005,256,0.0,-256.0,False,9,11303.0,比较冷
25006,256,0.0,-256.0,False,9,902.0,一般
25007,256,0.0,-256.0,False,9,31218.0,超级冷
25008,256,0.0,-256.0,False,9,389.0,一般
25009,256,0.0,-256.0,False,9,1248.0,一般
25010,256,0.0,-256.0,False,9,2576.0,一般
25011,256,0.0,-256.0,False,9,1091.0,一般
25012,256,828.0,572.0,True,9,828.0,一般
25013,256,0.0,-256.0,False,9,30997.0,超级冷
25014,256,0.0,-256.0,False,9,24764.0,超级冷
25015,256,0.0,-256.0,False,9,730.0,一般
25016,256,0.0,-256.0,False,9,168.0,一般
25017,256,0.0,-256.0,False,9,119422.0,超级冷
25018,256,4604.0,4348.0,True,9,4604.0,一般
25019,256,0.0,-256.0,False,9,3268.0,一般
25020,256,0.0,-256.0,False,9,31764.0,超级冷
25021,256,0.0,-256.0,False,9,8563.0,比较冷
25022,256,0.0,-256.0,False,9,102107.0,超级冷
25023,256,0.0,-256.0,False,9,1459.0,一般
25024,256,0.0,-256.0,False,9,118333.0,超级冷
25025,256,0.0,-256.0,False,9,15323.0,超级冷
25026,256,0.0,-256.0,False,9,221.0,一般
25027,256,0.0,-256.0,False,9,4231.0,一般
25028,256,0.0,-256.0,False,9,2590.0,一般
25029,256,0.0,-256.0,False,9,2763.0,一般
25030,256,0.0,-256.0,False,9,638.0,一般
25031,256,0.0,-256.0,False,9,2542.0,一般
25032,256,0.0,-256.0,False,9,3168.0,一般
25033,256,0.0,-256.0,False,9,5196.0,比较冷
25034,256,0.0,-256.0,False,9,23525.0,超级冷
25035,256,0.0,-256.0,False,9,7358.0,比较冷
25036,256,0.0,-256.0,False,9,146821.0,超级冷
25037,256,0.0,-256.0,False,9,1697.0,一般
25038,256,0.0,-256.0,False,9,542.0,一般
25039,256,733.0,477.0,True,9,733.0,一般
25040,256,0.0,-256.0,False,9,12380.0,比较冷
25041,256,0.0,-256.0,False,9,8732.0,比较冷
25042,256,0.0,-256.0,False,9,682.0,一般
25043,256,0.0,-256.0,False,9,16130.0,超级冷
25044,256,0.0,-256.0,False,9,35.0,一般
25045,256,0.0,-256.0,False,9,71.0,一般
25046,256,11078.0,10822.0,True,9,11078.0,比较冷
25047,256,0.0,-256.0,False,9,277.0,一般
25048,256,1169.0,913.0,True,9,1169.0,一般
25049,256,0.0,-256.0,False,9,1644.0,一般
25050,256,24931.0,24675.0,True,9,24931.0,超级冷
25051,256,0.0,-256.0,False,9,16983.0,超级冷
25052,256,0.0,-256.0,False,9,103323.0,超级冷
25053,256,0.0,-256.0,False,9,17939.0,超级冷
25054,256,0.0,-256.0,False,9,65436.0,超级冷
25055,256,0.0,-256.0,False,9,174.0,一般
25056,256,0.0,-256.0,False,9,42110.0,超级冷
25057,256,0.0,-256.0,False,9,10999.0,比较冷
25058,256,0.0,-256.0,False,9,3600.0,一般
25059,256,0.0,-256.0,False,9,83421.0,超级冷
25060,256,534.0,278.0,True,9,534.0,一般
25061,256,0.0,-256.0,False,9,2297.0,一般
25062,256,0.0,-256.0,False,9,950.0,一般
25063,256,0.0,-256.0,False,9,13683.0,比较冷
25064,256,0.0,-256.0,False,9,1331.0,一般
25065,256,0.0,-256.0,False,9,1257.0,一般
25066,256,0.0,-256.0,False,9,337.0,一般
