赛事,最终概率,庄家抽水,P值,聚类标签,类别名称
世亚预,0.500241,0.087045,0.169594,2,类别-C
世俱杯,0.482447,0.05549,0.48341,7,类别-H
世欧预,0.584376,0.059108,0.578309,3,类别-D
亚冠,0.483083,0.087373,0.077131,2,类别-C
德乙,0.371843,0.075538,0.155927,4,类别-E
德甲,0.420855,0.057652,0.034911,1,类别-B
意甲,0.419263,0.05757,0.262271,1,类别-B
挪超,0.420816,0.077326,0.693691,6,类别-G
欧冠,0.448307,0.059021,0.509015,7,类别-H
欧协联,0.399316,0.072088,0.489846,4,类别-E
欧国联,0.454227,0.061531,0.92588,5,类别-F
欧洲杯,0.407284,0.0512,0.161214,1,类别-B
欧联,0.427211,0.063744,0.370565,1,类别-B
法乙,0.370879,0.081096,0.90315,0,类别-A
法甲,0.408904,0.058182,0.731592,5,类别-F
瑞典超,0.40736,0.077978,0.146626,4,类别-E
美职,0.395642,0.076423,0.969374,0,类别-A
英冠,0.381437,0.07146,0.313503,4,类别-E
英超,0.427298,0.055305,0.299175,1,类别-B
荷乙,0.401101,0.086921,0.446256,4,类别-E
荷甲,0.441958,0.070359,0.824578,6,类别-G
葡超,0.451882,0.071326,0.578878,6,类别-G
西甲,0.431072,0.057177,0.761044,5,类别-F
足总杯,0.452996,0.066914,0.17222,1,类别-B
非洲杯,0.419979,0.071285,0.749855,6,类别-G
