赛事,样本量,理论概率_胜,理论概率_平,理论概率_负,真实频率_胜,真实频率_平,真实频率_负,卡方统计量,P值,当前期数id
J2联赛,12.0,0.309,0.275,0.417,0.333,0.25,0.417,0.05,0.975,25001
J联赛,25.0,0.418,0.27,0.311,0.52,0.36,0.12,4.301,0.116,25001
世亚预,80.0,0.482,0.212,0.306,0.412,0.312,0.275,4.841,0.089,25001
世南美预,17.0,0.456,0.252,0.292,0.588,0.412,0.0,7.347,0.025,25001
亚冠,35.0,0.498,0.231,0.272,0.6,0.286,0.114,4.389,0.111,25001
亚洲杯,36.0,0.382,0.24,0.379,0.361,0.361,0.278,3.227,0.199,25001
友谊赛,40.0,0.536,0.224,0.24,0.475,0.3,0.225,1.333,0.513,25001
国王杯,9.0,0.462,0.267,0.271,0.444,0.444,0.111,1.909,0.385,25001
天皇杯,31.0,0.385,0.24,0.376,0.452,0.097,0.452,3.475,0.176,25001
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25001
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25001
德乙,61.0,0.441,0.25,0.308,0.475,0.18,0.344,1.61,0.447,25001
德国杯,19.0,0.451,0.213,0.337,0.579,0.105,0.316,1.745,0.418,25001
德甲,246.0,0.449,0.227,0.324,0.407,0.26,0.333,2.276,0.32,25001
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25001
意大利杯,18.0,0.579,0.237,0.184,0.778,0.056,0.167,3.749,0.153,25001
意甲,224.0,0.42,0.26,0.32,0.379,0.308,0.312,2.926,0.232,25001
意超杯,2.0,0.474,0.276,0.25,1.0,0.0,0.0,2.22,0.33,25001
挪超,67.0,0.468,0.237,0.295,0.373,0.299,0.328,2.612,0.271,25001
日联杯,10.0,0.276,0.263,0.461,0.3,0.4,0.3,1.294,0.524,25001
欧冠,151.0,0.469,0.228,0.303,0.49,0.199,0.311,0.731,0.694,25001
欧协联,55.0,0.473,0.244,0.282,0.436,0.309,0.255,1.256,0.534,25001
欧国联,112.0,0.446,0.244,0.31,0.438,0.241,0.321,0.073,0.964,25001
欧洲杯,51.0,0.41,0.256,0.333,0.333,0.373,0.294,3.65,0.161,25001
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25001
欧联,146.0,0.469,0.24,0.29,0.486,0.253,0.26,0.652,0.722,25001
