期号,赛果冷热,一等奖
23001,超级冷,81301
23002,一般,2549
23003,一般,3950
23004,超级冷,67623
23005,超级冷,28646
23006,一般,3047
23007,一般,4047
23008,一般,1586
23009,比较冷,13587
23010,超级冷,147130
23011,一般,1569
23012,比较冷,8329
23013,一般,3147
23014,超级冷,109047
23015,一般,3920
23016,比较冷,5340
23017,比较冷,10412
23018,一般,100
23019,一般,2454
23020,超级冷,71985
23021,超级冷,25330
23022,超级冷,146958
23023,一般,258
23024,一般,736
23025,一般,382
23026,一般,517
23027,超级冷,71256
23028,一般,236
23029,一般,978
23030,超级冷,24147
23031,一般,462
23032,比较冷,11697
23033,一般,549
23034,一般,4809
23035,一般,394
23036,一般,1240
23037,一般,777
23038,超级冷,60220
23039,比较冷,11322
23040,一般,68
23041,一般,332
23042,一般,99
23043,一般,2855
23044,一般,2656
23045,一般,2816
23046,超级冷,55819
23047,一般,4757
23048,超级冷,208548
23049,比较冷,13166
23050,一般,403
23051,超级冷,139247
23052,一般,1130
23053,超级冷,114811
23054,比较冷,7841
23055,一般,1759
23056,超级冷,19173
23057,超级冷,45772
23058,一般,3199
23059,一般,296
23060,一般,784
23061,一般,86
23062,一般,238
23063,比较冷,5203
23064,一般,3450
23065,一般,233
23066,一般,1987
23067,一般,342
23068,一般,1136
23069,超级冷,31918
23070,一般,487
23071,一般,3365
23072,超级冷,21094
23073,一般,1717
23074,超级冷,37967
23075,一般,828
23076,比较冷,11668
23077,一般,116
23078,一般,431
23079,一般,211
23080,超级冷,58030
23081,比较冷,10616
23082,一般,4217
23083,一般,3830
23084,比较冷,10624
23085,一般,1350
23086,一般,4699
23087,一般,3096
23088,一般,1238
23089,一般,3327
23090,一般,205
23091,一般,2798
23092,比较冷,5880
23093,一般,3382
23094,一般,1592
23095,超级冷,291134
23096,一般,2497
23097,比较冷,9652
23098,一般,179
23099,一般,3947
23100,超级冷,24761
23101,一般,709
23102,一般,648
23103,一般,179
23104,一般,885
23105,一般,3629
23106,超级冷,74423
23107,比较冷,5361
23108,超级冷,27028
23109,超级冷,177807
23110,比较冷,9729
23111,一般,72
23112,一般,35
23113,一般,2295
23114,一般,28
23115,超级冷,128599
23116,一般,332
23117,一般,4842
23118,一般,186
23119,一般,21
23120,一般,1477
23121,一般,2036
23122,超级冷,59065
23123,比较冷,10476
23124,超级冷,22198
23125,超级冷,20319
23126,一般,1583
23127,比较冷,9136
23128,一般,3835
23129,比较冷,8503
23130,超级冷,34280
23131,一般,603
23132,一般,112
23133,一般,411
23134,一般,120
23135,一般,1430
23136,一般,35
23137,一般,421
23138,一般,319
23139,一般,107
23140,超级冷,183274
23141,超级冷,39129
23142,超级冷,84524
23143,一般,959
23144,一般,254
23145,一般,2276
23146,一般,715
23147,一般,98
23148,比较冷,9383
23149,一般,44
23150,一般,1391
23151,一般,810
23152,一般,3473
23153,一般,1817
23154,一般,4586
23155,一般,3627
23156,一般,1358
23157,一般,13
23158,比较冷,6254
23159,一般,549
23160,比较冷,10690
23161,一般,2821
23162,超级冷,122729
23163,比较冷,10370
23164,一般,1607
23165,一般,229
23166,超级冷,16376
23167,比较冷,6201
23168,一般,445
23169,超级冷,105170
23170,一般,80
23171,超级冷,33642
23172,一般,4186
23173,超级冷,141149
23174,一般,479
24001,比较冷,5251
24002,一般,269
24003,一般,146
24004,比较冷,5535
24005,一般,734
24006,一般,2492
24007,一般,1535
24008,一般,477
24009,一般,784
24010,比较冷,6012
24011,一般,2869
24012,超级冷,17141
24013,超级冷,19475
24014,比较冷,11570
24015,一般,2333
24016,超级冷,67252
24017,一般,181
24018,比较冷,8341
