期数id,-1,0,1,2,3,4,5,6,7,赛果冷热,target
24001,1,0,1,0,0,12,0,0,0,比较冷,1
24002,4,0,0,0,0,0,10,0,0,一般,0
24003,0,0,10,0,0,0,0,4,0,一般,0
24004,0,0,12,0,0,0,0,2,0,比较冷,1
24005,7,0,1,0,0,2,2,1,0,一般,0
24006,3,0,11,0,0,0,0,0,0,一般,0
24007,3,0,8,0,0,0,2,1,0,一般,0
24008,5,0,2,0,0,0,0,7,0,一般,0
24009,9,0,0,0,0,0,0,5,0,一般,0
24010,4,0,0,0,0,3,1,5,0,比较冷,1
24011,2,0,10,0,0,0,2,0,0,一般,0
24012,2,0,8,0,0,0,4,0,0,超级冷,1
24013,6,0,0,0,0,0,0,8,0,超级冷,1
24014,9,0,1,0,0,0,0,4,0,比较冷,1
24015,0,0,6,0,0,5,2,1,0,一般,0
24016,0,0,14,0,0,0,0,0,0,超级冷,1
24017,2,0,8,0,0,0,4,0,0,一般,0
24018,4,0,6,0,0,0,1,3,0,比较冷,1
24019,3,0,5,0,0,1,3,2,0,一般,0
24020,2,0,2,0,0,5,2,3,0,一般,0
24021,2,0,11,0,0,0,0,1,0,比较冷,1
24022,0,0,10,0,0,0,4,0,0,比较冷,1
24023,0,0,8,0,0,0,6,0,0,超级冷,1
24024,0,0,1,5,0,4,0,0,4,比较冷,1
24025,0,0,8,0,0,6,0,0,0,超级冷,1
24026,1,0,2,0,0,7,2,2,0,超级冷,1
24027,0,0,11,0,0,0,3,0,0,比较冷,1
24028,0,0,6,0,0,0,8,0,0,超级冷,1
24029,5,0,7,0,0,0,1,1,0,一般,0
24030,7,0,6,0,0,0,0,0,0,一般,0
24031,0,0,2,0,0,7,2,2,0,比较冷,1
24032,0,0,14,0,0,0,0,0,0,一般,0
24033,0,0,7,0,0,0,5,2,0,比较冷,1
24034,0,1,2,3,0,4,1,1,2,一般,0
24035,0,0,8,1,0,3,0,0,2,比较冷,1
24036,0,0,2,0,0,7,2,3,0,一般,0
24037,0,0,14,0,0,0,0,0,0,一般,0
24038,0,0,10,0,0,0,4,0,0,一般,0
24039,3,1,2,3,0,1,1,1,2,一般,0
24040,3,0,8,1,0,0,0,0,2,一般,0
24041,0,0,2,0,0,8,2,2,0,一般,0
24042,0,0,10,0,0,0,3,1,0,一般,0
24043,0,0,7,0,0,0,5,1,0,一般,0
24044,5,0,0,9,0,0,0,0,0,一般,0
24045,14,0,0,0,0,0,0,0,0,超级冷,1
24046,9,0,0,5,0,0,0,0,0,一般,0
24047,0,0,0,0,0,10,1,3,0,一般,0
24048,0,0,12,0,0,0,1,1,0,比较冷,1
24049,0,0,5,0,0,0,8,1,0,超级冷,1
24050,0,0,4,0,0,8,1,1,0,比较冷,1
24051,5,0,5,0,0,0,0,4,0,一般,0
24052,4,0,5,0,0,0,1,4,0,一般,0
24053,1,0,12,0,0,0,0,1,0,比较冷,1
24054,0,0,9,0,0,0,4,1,0,超级冷,1
24055,0,0,1,0,0,10,0,1,2,超级冷,1
24056,0,0,4,0,0,8,0,0,2,超级冷,1
24057,0,0,2,0,0,8,2,2,0,比较冷,1
24058,0,0,12,0,0,0,1,1,0,一般,0
24059,0,0,7,0,0,0,5,1,0,超级冷,1
24060,1,0,3,1,0,3,1,3,2,比较冷,1
24061,1,0,4,1,0,4,0,2,2,超级冷,1
24062,1,0,3,0,0,7,2,1,0,超级冷,1
24063,0,0,10,0,0,0,3,1,0,一般,0
24064,0,0,7,0,0,0,6,1,0,一般,0
24065,1,4,3,1,0,3,1,1,0,一般,0
24066,1,0,5,1,0,3,2,2,0,一般,0
24067,0,0,2,0,0,9,2,1,0,超级冷,1
24068,0,0,13,0,0,0,0,1,0,超级冷,1
24069,0,0,9,0,0,0,4,1,0,一般,0
24070,0,0,4,0,0,6,1,1,2,比较冷,1
24071,0,3,3,0,0,2,3,3,0,一般,0
24072,0,0,9,0,0,0,3,2,0,一般,0
24073,0,0,10,0,0,0,2,2,0,超级冷,1
24074,2,0,5,0,0,3,1,1,2,超级冷,1
24075,0,7,2,0,0,2,2,1,0,比较冷,1
24076,0,0,14,0,0,0,0,0,0,比较冷,1
24077,0,0,8,0,0,0,5,1,0,一般,0
24078,2,0,4,0,0,1,4,3,0,一般,0
24079,2,0,2,0,0,4,6,0,0,比较冷,1
24080,0,0,0,0,0,5,3,6,0,一般,0
24081,0,0,11,0,0,0,1,2,0,一般,0
24082,0,0,8,0,0,0,6,0,0,一般,0
24083,10,0,2,0,0,0,0,2,0,超级冷,1
24084,2,0,3,1,0,2,5,1,0,超级冷,1
24085,1,0,6,0,0,1,3,3,0,超级冷,1
24086,7,0,0,0,0,4,0,3,0,一般,0
24087,0,10,0,0,0,2,0,1,1,一般,0
24088,0,1,1,0,0,4,1,7,0,超级冷,1
24089,14,0,0,0,0,0,0,0,0,一般,0
24090,1,0,0,13,0,0,0,0,0,一般,0
24091,10,4,0,0,0,0,0,0,0,比较冷,1
24092,0,0,0,14,0,0,0,0,0,一般,0
24093,14,0,0,0,0,0,0,0,0,一般,0
24094,6,4,4,0,0,0,0,0,0,一般,0
24095,8,0,6,0,0,0,0,0,0,超级冷,1
24096,2,1,11,0,0,0,0,0,0,一般,0
24097,2,9,3,0,0,0,0,0,0,比较冷,1
