期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25194,1295911,英超,12-27 20:30,诺丁汉森林,曼城,1,2,5.14,4.21,1.61,https://www.okooo.com/soccer/match/1295911/history/
25194,1295905,英超,12-27 23:00,布伦特,伯恩茅斯,4,1,2.30,3.48,3.02,https://www.okooo.com/soccer/match/1295905/history/
25194,1295906,英超,12-27 23:00,伯恩利,埃弗顿,0,0,3.68,3.13,2.17,https://www.okooo.com/soccer/match/1295906/history/
25194,1295909,英超,12-27 23:00,利物浦,狼队,2,1,1.24,6.48,11.12,https://www.okooo.com/soccer/match/1295909/history/
25194,1295913,英超,12-27 23:00,西汉姆,富勒姆,0,1,2.93,3.34,2.42,https://www.okooo.com/soccer/match/1295913/history/
25194,1295907,英超,12-28 01:30,切尔西,维拉,1,2,1.78,3.93,4.25,https://www.okooo.com/soccer/match/1295907/history/
25194,1292727,意甲,12-27 22:00,都灵,卡利亚里,1,2,1.81,3.37,4.84,https://www.okooo.com/soccer/match/1292727/history/
25194,1292732,意甲,12-27 22:00,莱切,科莫,0,3,4.75,3.32,1.84,https://www.okooo.com/soccer/match/1292732/history/
25194,1292726,意甲,12-28 01:00,乌迪内斯,拉齐奥,1,1,3.21,2.90,2.51,https://www.okooo.com/soccer/match/1292726/history/
25194,1292729,意甲,12-28 03:45,比萨,尤文,0,2,7.37,4.22,1.47,https://www.okooo.com/soccer/match/1292729/history/
25194,1307902,葡超,12-28 02:00,法马利康,阿马多拉,2,3,1.47,4.12,6.78,https://www.okooo.com/soccer/match/1307902/history/
25194,1287454,非洲杯,12-27 20:30,贝宁,博茨瓦纳,1,0,1.83,3.09,5.04,https://www.okooo.com/soccer/match/1287454/history/
25194,1287452,非洲杯,12-28 01:30,乌干达,坦桑尼亚,1,1,2.43,2.69,3.47,https://www.okooo.com/soccer/match/1287452/history/
25194,1287451,非洲杯,12-28 04:00,尼日利亚,突尼斯,3,2,2.19,2.90,3.71,https://www.okooo.com/soccer/match/1287451/history/
