期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
24198,1276658,欧联,12-13 01:45,霍芬海姆,布加勒斯特星,0,0,1.56,4.14,5.59,https://www.okooo.com/soccer/match/1276658/history/
24198,1276656,欧联,12-13 01:45,卢多戈雷茨,阿尔克马,2,2,3.11,3.21,2.33,https://www.okooo.com/soccer/match/1276656/history/
24198,1276653,欧联,12-13 01:45,马尔默,加拉塔萨雷,2,2,3.54,3.73,1.96,https://www.okooo.com/soccer/match/1276653/history/
24198,1276654,欧联,12-13 01:45,奥林匹亚科斯,特温特,0,0,1.71,3.87,4.62,https://www.okooo.com/soccer/match/1276654/history/
24198,1276655,欧联,12-13 01:45,塞萨洛尼基,费伦茨,5,0,1.83,3.58,4.23,https://www.okooo.com/soccer/match/1276655/history/
24198,1276651,欧联,12-13 01:45,罗马,布拉加,3,0,1.61,4.11,5.09,https://www.okooo.com/soccer/match/1276651/history/
24198,1276657,欧联,12-13 01:45,圣吉罗斯,尼斯,2,1,1.74,3.74,4.63,https://www.okooo.com/soccer/match/1276657/history/
24198,1276652,欧联,12-13 01:45,比尔森,曼联,1,2,5.88,4.35,1.52,https://www.okooo.com/soccer/match/1276652/history/
24198,1276659,欧联,12-13 04:00,阿贾克斯,拉齐奥,1,3,2.23,3.48,3.08,https://www.okooo.com/soccer/match/1276659/history/
24198,1276661,欧联,12-13 04:00,博德闪耀,贝西克塔斯,2,1,1.34,5.53,7.96,https://www.okooo.com/soccer/match/1276661/history/
24198,1276660,欧联,12-13 04:00,波尔图,中日德兰,2,0,1.26,5.91,10.11,https://www.okooo.com/soccer/match/1276660/history/
24198,1276665,欧联,12-13 04:00,流浪者,热刺,1,1,3.46,3.87,1.96,https://www.okooo.com/soccer/match/1276665/history/
24198,1276667,欧联,12-13 04:00,布拉格斯拉维亚,安德莱赫特,1,2,1.45,4.37,7.00,https://www.okooo.com/soccer/match/1276667/history/
24198,1276662,欧联,12-13 04:00,埃尔夫斯堡,卡拉巴,1,0,2.48,3.52,2.67,https://www.okooo.com/soccer/match/1276662/history/
