期数id,投注成本,奖金,净收益,是否中奖,投注场次数,当期一等奖
25001,256,0.0,-256.0,False,9,45724.0
25002,256,0.0,-256.0,False,9,21517.0
25003,256,0.0,-256.0,False,9,33736.0
25004,256,0.0,-256.0,False,9,5446.0
25005,256,0.0,-256.0,False,9,11303.0
25006,256,0.0,-256.0,False,9,902.0
25007,256,0.0,-256.0,False,9,31218.0
25008,256,0.0,-256.0,False,9,389.0
25009,256,0.0,-256.0,False,9,1248.0
25010,256,0.0,-256.0,False,9,2576.0
25011,256,0.0,-256.0,False,9,1091.0
25012,256,828.0,572.0,True,9,828.0
25013,256,0.0,-256.0,False,9,30997.0
25014,256,0.0,-256.0,False,9,24764.0
25015,256,0.0,-256.0,False,9,730.0
25016,256,0.0,-256.0,False,9,168.0
25017,256,0.0,-256.0,False,9,119422.0
25018,256,4604.0,4348.0,True,9,4604.0
25019,256,0.0,-256.0,False,9,3268.0
25020,256,0.0,-256.0,False,9,31764.0
25021,256,0.0,-256.0,False,9,8563.0
25022,256,0.0,-256.0,False,9,102107.0
25023,256,0.0,-256.0,False,9,1459.0
25024,256,0.0,-256.0,False,9,118333.0
25025,256,0.0,-256.0,False,9,15323.0
25026,256,0.0,-256.0,False,9,221.0
25027,256,0.0,-256.0,False,9,4231.0
25028,256,0.0,-256.0,False,9,2590.0
25029,256,0.0,-256.0,False,9,2763.0
25030,256,0.0,-256.0,False,9,638.0
25031,256,0.0,-256.0,False,9,2542.0
25032,256,0.0,-256.0,False,9,3168.0
25033,256,0.0,-256.0,False,9,5196.0
25034,256,0.0,-256.0,False,9,23525.0
25035,256,0.0,-256.0,False,9,7358.0
25036,256,0.0,-256.0,False,9,146821.0
25037,256,0.0,-256.0,False,9,1697.0
25038,256,0.0,-256.0,False,9,542.0
25039,256,733.0,477.0,True,9,733.0
25040,256,0.0,-256.0,False,9,12380.0
25041,256,0.0,-256.0,False,9,8732.0
25042,256,0.0,-256.0,False,9,682.0
25043,256,0.0,-256.0,False,9,16130.0
25044,256,0.0,-256.0,False,9,35.0
25045,256,0.0,-256.0,False,9,71.0
25046,256,11078.0,10822.0,True,9,11078.0
25047,256,0.0,-256.0,False,9,277.0
25048,256,1169.0,913.0,True,9,1169.0
25049,256,0.0,-256.0,False,9,1644.0
25050,256,24931.0,24675.0,True,9,24931.0
25051,256,0.0,-256.0,False,9,16983.0
25052,256,0.0,-256.0,False,9,103323.0
25053,256,0.0,-256.0,False,9,17939.0
25054,256,0.0,-256.0,False,9,65436.0
25055,256,0.0,-256.0,False,9,174.0
25056,256,0.0,-256.0,False,9,42110.0
25057,256,0.0,-256.0,False,9,10999.0
25058,256,0.0,-256.0,False,9,3600.0
25059,256,0.0,-256.0,False,9,83421.0
25060,256,534.0,278.0,True,9,534.0
25061,256,0.0,-256.0,False,9,2297.0
25062,256,0.0,-256.0,False,9,950.0
25063,256,0.0,-256.0,False,9,13683.0
25064,256,0.0,-256.0,False,9,1331.0
25065,256,0.0,-256.0,False,9,1257.0
25066,256,0.0,-256.0,False,9,337.0
